Basic ELO	k0	lambda	accuracy	precision	recall	f1	roc_auc
900	8	0.8	0.6256	0.6378	0.6917	0.6617	0.6801
900	8	1.0	0.6178	0.6303	0.6866	0.6557	0.6688
900	8	1.2	0.6084	0.6194	0.689	0.6509	0.6523
900	8	1.4	0.6002	0.6098	0.6922	0.6473	0.6368
900	8	1.6	0.595	0.603	0.7004	0.6473	0.6268
900	8	1.8	0.5917	0.5999	0.7012	0.6456	0.6226
900	10	0.2	0.6312	0.6437	0.6951	0.6663	0.6814
900	10	0.4	0.6317	0.6449	0.6938	0.666	0.6849
900	10	0.6	0.6314	0.644	0.6941	0.6657	0.6841
900	10	0.8	0.6242	0.6365	0.6906	0.6606	0.6761
900	10	1.0	0.6124	0.6244	0.6847	0.6518	0.6627
900	10	1.2	0.6055	0.6157	0.6903	0.6498	0.6457
900	10	1.4	0.594	0.604	0.6903	0.6431	0.6332
900	10	1.6	0.5912	0.5995	0.6978	0.6442	0.6272
900	10	1.8	0.5954	0.6032	0.7026	0.6481	0.6289
900	12	0.2	0.6307	0.644	0.6922	0.6649	0.6826
900	12	0.4	0.6328	0.6464	0.6933	0.6666	0.685
900	12	0.6	0.6274	0.6399	0.6919	0.6627	0.6818
900	12	0.8	0.6208	0.6327	0.6903	0.6587	0.6723
900	12	1.0	0.61	0.6219	0.6855	0.6508	0.6573
900	12	1.2	0.6025	0.6122	0.6919	0.6485	0.6408
900	12	1.4	0.5947	0.6044	0.6924	0.6443	0.6309
900	12	1.6	0.5903	0.5994	0.6938	0.642	0.6277
900	12	1.8	0.597	0.6052	0.6986	0.6474	0.6271
900	14	0.2	0.631	0.6434	0.6954	0.6661	0.6832
900	14	0.4	0.6312	0.6444	0.6935	0.6657	0.6842
900	14	0.6	0.6264	0.6384	0.6935	0.6626	0.6794
900	14	0.8	0.6182	0.6301	0.6887	0.6565	0.6685
900	14	1.0	0.6074	0.6188	0.6868	0.6498	0.6525
900	14	1.2	0.6011	0.6105	0.6924	0.6479	0.637
900	14	1.4	0.5936	0.6029	0.6927	0.6439	0.6294
900	14	1.6	0.5923	0.6005	0.7012	0.6455	0.6254
900	14	1.8	0.5988	0.6066	0.6999	0.6488	0.6284
900	16	0.2	0.6291	0.6422	0.6927	0.6641	0.6835
900	16	0.4	0.6322	0.6445	0.6959	0.667	0.6832
900	16	0.6	0.6244	0.6372	0.6924	0.6611	0.6769
900	16	0.8	0.6159	0.6274	0.6892	0.6554	0.6648
900	16	1.0	0.6065	0.6174	0.6868	0.6491	0.6484
900	16	1.2	0.5989	0.6086	0.6916	0.6464	0.6341
900	16	1.4	0.595	0.6038	0.6967	0.6462	0.6276
900	16	1.6	0.5899	0.5986	0.6972	0.6432	0.6223
900	16	1.8	0.5978	0.6057	0.7031	0.6495	0.628
900	18	0.2	0.6304	0.6438	0.6927	0.665	0.6833
900	18	0.4	0.6291	0.6412	0.6954	0.6649	0.6819
900	18	0.6	0.6233	0.6351	0.6906	0.6601	0.6744
900	18	0.8	0.6137	0.6254	0.6868	0.6532	0.6613
900	18	1.0	0.6056	0.616	0.6887	0.6493	0.6449
900	18	1.2	0.597	0.6069	0.6903	0.6448	0.632
900	18	1.4	0.5919	0.6006	0.6962	0.6438	0.6255
900	18	1.6	0.5897	0.5982	0.701	0.6445	0.6237
900	18	1.8	0.5948	0.6017	0.7077	0.649	0.6255
1000	2	0.2	0.615	0.6227	0.7039	0.6589	0.6602
1000	2	0.4	0.621	0.6307	0.6981	0.6607	0.6669
1000	2	0.6	0.6253	0.6368	0.6935	0.6617	0.6757
1000	2	0.8	0.6294	0.6412	0.6967	0.6652	0.682
1000	2	1.0	0.6291	0.6404	0.6983	0.6657	0.6848
1000	2	1.2	0.6246	0.6368	0.6911	0.661	0.6823
1000	2	1.4	0.6215	0.6322	0.6938	0.6599	0.673
1000	2	1.6	0.6125	0.6229	0.6908	0.6538	0.6571
1000	2	1.8	0.6036	0.6136	0.6927	0.6494	0.6398
1000	4	0.2	0.6257	0.6353	0.6997	0.6639	0.6698
1000	4	0.4	0.6287	0.6401	0.6965	0.6649	0.6778
1000	4	0.6	0.6305	0.6432	0.6938	0.6654	0.6837
1000	4	0.8	0.63	0.6429	0.6927	0.6646	0.6854
1000	4	1.0	0.6253	0.6375	0.6911	0.6611	0.682
1000	4	1.2	0.6196	0.6306	0.6927	0.6586	0.6716
1000	4	1.4	0.6086	0.6195	0.6884	0.651	0.6555
1000	4	1.6	0.6014	0.6111	0.6916	0.6476	0.6383
1000	4	1.8	0.5982	0.6064	0.7007	0.6489	0.6281
1000	6	0.2	0.6253	0.6361	0.6962	0.6628	0.6755
1000	6	0.4	0.629	0.6416	0.693	0.6641	0.6824
1000	6	0.6	0.6332	0.6457	0.6978	0.6681	0.6856
1000	6	0.8	0.6266	0.6395	0.6911	0.6625	0.6839
1000	6	1.0	0.624	0.6357	0.6932	0.6615	0.6755
1000	6	1.2	0.6142	0.6253	0.6895	0.6546	0.661
1000	6	1.4	0.6033	0.6138	0.6892	0.6482	0.6436
1000	6	1.6	0.5974	0.6052	0.7007	0.6486	0.6305
1000	6	1.8	0.5916	0.6008	0.6954	0.6433	0.6276
1000	8	0.2	0.6317	0.6421	0.7002	0.6679	0.679
1000	8	0.4	0.6311	0.6439	0.6949	0.6659	0.6844
1000	8	0.6	0.6322	0.6448	0.6943	0.6664	0.6855
1000	8	0.8	0.6254	0.6373	0.6917	0.6616	0.6803
1000	8	1.0	0.6175	0.6299	0.6866	0.6555	0.669
1000	8	1.2	0.6079	0.619	0.6882	0.6504	0.6525
1000	8	1.4	0.6005	0.6102	0.6922	0.6475	0.637
1000	8	1.6	0.5955	0.6032	0.7007	0.6474	0.6263
1000	8	1.8	0.5936	0.6008	0.7071	0.6487	0.6244
1000	10	0.2	0.6322	0.644	0.6973	0.6673	0.6815
1000	10	0.4	0.6334	0.646	0.6967	0.668	0.685
1000	10	0.6	0.6304	0.6427	0.6943	0.6654	0.684
1000	10	0.8	0.6243	0.6366	0.6908	0.6606	0.6763
1000	10	1.0	0.6118	0.6243	0.6844	0.6514	0.6628
1000	10	1.2	0.6052	0.6154	0.6898	0.6493	0.6456
1000	10	1.4	0.5943	0.6043	0.6911	0.6437	0.6332
1000	10	1.6	0.5919	0.6005	0.6972	0.6442	0.6274
1000	10	1.8	0.5938	0.6019	0.7023	0.6471	0.6266
1000	12	0.2	0.6304	0.6432	0.6938	0.6653	0.6825
1000	12	0.4	0.6338	0.647	0.6949	0.6675	0.6848
1000	12	0.6	0.6281	0.6404	0.6933	0.6636	0.6819
1000	12	0.8	0.6216	0.6333	0.6924	0.6598	0.6724
1000	12	1.0	0.6099	0.6216	0.6858	0.6508	0.6574
1000	12	1.2	0.6031	0.6128	0.6908	0.6483	0.6409
1000	12	1.4	0.5948	0.6045	0.6924	0.6443	0.6309
1000	12	1.6	0.5896	0.5983	0.7002	0.6441	0.6223
1000	12	1.8	0.5971	0.6046	0.7031	0.649	0.624
1000	14	0.2	0.6301	0.6429	0.6938	0.6651	0.6834
1000	14	0.4	0.6321	0.6453	0.6941	0.6664	0.6842
1000	14	0.6	0.6259	0.6379	0.6933	0.6624	0.6795
1000	14	0.8	0.6186	0.6306	0.6887	0.6568	0.6686
1000	14	1.0	0.6067	0.6184	0.6847	0.6487	0.6527
1000	14	1.2	0.6008	0.6103	0.6919	0.6476	0.6371
1000	14	1.4	0.5933	0.6026	0.6938	0.6441	0.6293
1000	14	1.6	0.597	0.6049	0.7007	0.6485	0.6276
1000	14	1.8	0.5946	0.6027	0.6999	0.6468	0.6278
1000	16	0.2	0.6298	0.6428	0.6933	0.6648	0.6835
1000	16	0.4	0.632	0.6444	0.6959	0.6667	0.6832
1000	16	0.6	0.6244	0.637	0.6911	0.661	0.6772
1000	16	0.8	0.6158	0.6272	0.6892	0.6553	0.6648
1000	16	1.0	0.6065	0.6175	0.6868	0.6492	0.6486
1000	16	1.2	0.5994	0.6088	0.6927	0.6469	0.6341
1000	16	1.4	0.5947	0.6037	0.6956	0.6455	0.6277
1000	16	1.6	0.5957	0.6034	0.7047	0.6489	0.6287
1000	16	1.8	0.5948	0.6035	0.6988	0.6466	0.6293
1000	18	0.2	0.6301	0.6436	0.6922	0.6646	0.6834
1000	18	0.4	0.6305	0.6426	0.6967	0.6662	0.682
1000	18	0.6	0.6229	0.6351	0.6911	0.6601	0.6745
1000	18	0.8	0.613	0.6247	0.6866	0.6529	0.6614
1000	18	1.0	0.605	0.6157	0.6868	0.6482	0.645
1000	18	1.2	0.5974	0.6073	0.6906	0.645	0.632
1000	18	1.4	0.5919	0.6007	0.6959	0.644	0.6256
1000	18	1.6	0.5914	0.5999	0.6991	0.6447	0.6267
1000	18	1.8	0.5968	0.6054	0.6972	0.6472	0.6288
1100	2	0.2	0.614	0.6216	0.7036	0.6586	0.6589
1100	2	0.4	0.6216	0.6303	0.701	0.662	0.667
1100	2	0.6	0.6249	0.6365	0.6941	0.6611	0.6756
1100	2	0.8	0.6287	0.6401	0.697	0.665	0.682
1100	2	1.0	0.6274	0.6392	0.6959	0.664	0.6847
1100	2	1.2	0.624	0.6364	0.6914	0.6607	0.6824
1100	2	1.4	0.6216	0.6323	0.6938	0.66	0.6731
1100	2	1.6	0.6125	0.6228	0.6906	0.6535	0.6573
1100	2	1.8	0.6038	0.6139	0.6919	0.6491	0.6398
1100	4	0.2	0.6237	0.6333	0.6983	0.6624	0.6702
1100	4	0.4	0.6287	0.64	0.6965	0.665	0.6774
1100	4	0.6	0.6294	0.6423	0.6927	0.6641	0.6837
1100	4	0.8	0.6304	0.6431	0.6938	0.6652	0.6855
1100	4	1.0	0.624	0.6364	0.6906	0.6604	0.6821
1100	4	1.2	0.6201	0.6311	0.6932	0.659	0.6717
1100	4	1.4	0.609	0.6198	0.6892	0.6515	0.6556
1100	4	1.6	0.6011	0.611	0.6914	0.6475	0.6385
1100	4	1.8	0.5998	0.6079	0.701	0.6498	0.6278
1100	6	0.2	0.6246	0.6358	0.6943	0.6618	0.6753
1100	6	0.4	0.6314	0.644	0.6943	0.6659	0.6826
1100	6	0.6	0.6338	0.6461	0.6983	0.6687	0.6856
1100	6	0.8	0.6269	0.6395	0.6914	0.6628	0.684
1100	6	1.0	0.6235	0.6353	0.6916	0.6605	0.6757
1100	6	1.2	0.6135	0.6249	0.6887	0.6538	0.6612
1100	6	1.4	0.6036	0.6141	0.689	0.6482	0.6438
1100	6	1.6	0.5982	0.6058	0.7015	0.6492	0.6305
1100	6	1.8	0.5906	0.5998	0.6959	0.643	0.6258
1100	8	0.2	0.6301	0.6411	0.6978	0.6661	0.6792
1100	8	0.4	0.6314	0.6443	0.6957	0.6665	0.6844
1100	8	0.6	0.6317	0.6444	0.6935	0.6658	0.6853
1100	8	0.8	0.6249	0.6368	0.6919	0.6614	0.6804
1100	8	1.0	0.6168	0.629	0.6871	0.6554	0.6692
1100	8	1.2	0.6086	0.6196	0.6884	0.651	0.6526
1100	8	1.4	0.6005	0.61	0.6927	0.6476	0.6371
1100	8	1.6	0.5946	0.6026	0.6988	0.6463	0.6264
1100	8	1.8	0.5912	0.5993	0.7028	0.6456	0.6237
1100	10	0.2	0.6303	0.6422	0.6959	0.6656	0.6814
1100	10	0.4	0.6315	0.6446	0.6943	0.6662	0.6851
1100	10	0.6	0.631	0.6433	0.6949	0.6659	0.684
1100	10	0.8	0.6257	0.6376	0.6916	0.662	0.6765
1100	10	1.0	0.612	0.624	0.6852	0.6518	0.663
1100	10	1.2	0.6043	0.6147	0.6884	0.6484	0.6457
1100	10	1.4	0.594	0.604	0.6906	0.6433	0.6333
1100	10	1.6	0.5944	0.6025	0.6996	0.6462	0.6267
1100	10	1.8	0.5963	0.6054	0.6962	0.6465	0.628
1100	12	0.2	0.6321	0.6441	0.6973	0.6673	0.6826
1100	12	0.4	0.6325	0.6458	0.6938	0.6665	0.6849
1100	12	0.6	0.628	0.6406	0.6922	0.6634	0.6822
1100	12	0.8	0.6215	0.633	0.6919	0.6595	0.6726
1100	12	1.0	0.6101	0.6218	0.6855	0.6508	0.6577
1100	12	1.2	0.6026	0.6126	0.6898	0.6477	0.641
1100	12	1.4	0.5946	0.6041	0.6927	0.6444	0.6309
1100	12	1.6	0.5903	0.5987	0.6999	0.6443	0.6235
1100	12	1.8	0.5957	0.6035	0.7018	0.6477	0.6254
1100	14	0.2	0.6298	0.6428	0.6935	0.6648	0.6833
1100	14	0.4	0.6332	0.6461	0.6954	0.6675	0.6843
1100	14	0.6	0.6259	0.6378	0.6927	0.6621	0.6796
1100	14	0.8	0.6195	0.631	0.6903	0.6577	0.6686
1100	14	1.0	0.6076	0.6191	0.6852	0.6493	0.6529
1100	14	1.2	0.6002	0.6098	0.6914	0.6471	0.6372
1100	14	1.4	0.5937	0.603	0.6932	0.6441	0.6293
1100	14	1.6	0.5934	0.6027	0.6964	0.645	0.6244
1100	14	1.8	0.5943	0.6024	0.7015	0.6471	0.6259
1100	16	0.2	0.63	0.6423	0.693	0.6645	0.6836
1100	16	0.4	0.6327	0.6447	0.6959	0.6673	0.6833
1100	16	0.6	0.6246	0.6369	0.6914	0.6611	0.6772
1100	16	0.8	0.6162	0.6276	0.6895	0.6556	0.665
1100	16	1.0	0.6059	0.6172	0.6855	0.6484	0.6487
1100	16	1.2	0.5992	0.6089	0.6919	0.6466	0.6342
1100	16	1.4	0.5941	0.6028	0.697	0.6456	0.6282
1100	16	1.6	0.5896	0.599	0.6951	0.6424	0.626
1100	16	1.8	0.5929	0.6011	0.7018	0.6463	0.6248
1100	18	0.2	0.6305	0.644	0.6925	0.6654	0.6834
1100	18	0.4	0.6294	0.6418	0.6941	0.6649	0.682
1100	18	0.6	0.6233	0.6354	0.6911	0.6603	0.6748
1100	18	0.8	0.613	0.6248	0.6866	0.6528	0.6616
1100	18	1.0	0.6056	0.6165	0.6868	0.6486	0.6453
1100	18	1.2	0.5968	0.6065	0.6911	0.6449	0.6321
1100	18	1.4	0.59	0.5991	0.6951	0.6426	0.6258
1100	18	1.6	0.591	0.5993	0.6996	0.6447	0.6226
1100	18	1.8	0.5937	0.6022	0.698	0.6452	0.6298
1200	2	0.2	0.6152	0.6226	0.7044	0.6595	0.6584
1200	2	0.4	0.6233	0.6321	0.7018	0.6633	0.667
1200	2	0.6	0.6274	0.6387	0.6967	0.6639	0.6753
1200	2	0.8	0.6286	0.6404	0.6954	0.6644	0.6818
1200	2	1.0	0.6283	0.6401	0.6962	0.6646	0.6848
1200	2	1.2	0.6242	0.6365	0.6906	0.6604	0.6824
1200	2	1.4	0.6225	0.6333	0.6946	0.6605	0.6732
1200	2	1.6	0.6127	0.623	0.6919	0.654	0.6575
1200	2	1.8	0.6032	0.6135	0.6911	0.6486	0.64
1200	4	0.2	0.6263	0.6352	0.7021	0.6652	0.6697
1200	4	0.4	0.6273	0.6384	0.6962	0.664	0.6775
1200	4	0.6	0.6293	0.6422	0.6925	0.6639	0.6836
1200	4	0.8	0.6294	0.6421	0.6935	0.6643	0.6855
1200	4	1.0	0.6242	0.6365	0.6906	0.6605	0.6822
1200	4	1.2	0.6205	0.6314	0.6935	0.6594	0.6717
1200	4	1.4	0.6103	0.6208	0.69	0.6525	0.6557
1200	4	1.6	0.6008	0.6104	0.6924	0.6475	0.6387
1200	4	1.8	0.5971	0.6057	0.6994	0.6476	0.6276
1200	6	0.2	0.6254	0.6364	0.6957	0.6627	0.6755
1200	6	0.4	0.632	0.6437	0.6965	0.6667	0.6824
1200	6	0.6	0.6329	0.6458	0.6951	0.6671	0.6857
1200	6	0.8	0.6266	0.6393	0.6917	0.6625	0.6839
1200	6	1.0	0.6239	0.6358	0.693	0.6613	0.6758
1200	6	1.2	0.6137	0.625	0.6882	0.6539	0.6614
1200	6	1.4	0.6029	0.6135	0.6887	0.6478	0.6439
1200	6	1.6	0.5982	0.606	0.7012	0.649	0.6306
1200	6	1.8	0.595	0.6036	0.6986	0.6463	0.6248
1200	8	0.2	0.6307	0.6418	0.6975	0.6664	0.6791
1200	8	0.4	0.632	0.6448	0.6951	0.6666	0.6844
1200	8	0.6	0.632	0.6451	0.6925	0.6656	0.6854
1200	8	0.8	0.6266	0.6384	0.6933	0.6628	0.6806
1200	8	1.0	0.6175	0.6294	0.6879	0.6559	0.6693
1200	8	1.2	0.609	0.6199	0.6887	0.6514	0.6528
1200	8	1.4	0.5998	0.6096	0.6916	0.6469	0.6372
1200	8	1.6	0.5931	0.6018	0.6972	0.645	0.6266
1200	8	1.8	0.5957	0.6028	0.7047	0.6486	0.6241
1200	10	0.2	0.6327	0.6444	0.6975	0.6678	0.6812
1200	10	0.4	0.631	0.6443	0.6935	0.6655	0.6849
1200	10	0.6	0.631	0.6435	0.6946	0.6659	0.684
1200	10	0.8	0.6236	0.6361	0.6898	0.66	0.6766
1200	10	1.0	0.6127	0.6247	0.6855	0.6523	0.6631
1200	10	1.2	0.604	0.6145	0.6884	0.6483	0.646
1200	10	1.4	0.5944	0.6043	0.6911	0.6437	0.6332
1200	10	1.6	0.5948	0.6023	0.7023	0.6475	0.6276
1200	10	1.8	0.5988	0.6068	0.7036	0.6503	0.6279
1200	12	0.2	0.631	0.6432	0.6957	0.6662	0.6826
1200	12	0.4	0.6329	0.6461	0.6946	0.6671	0.6852
1200	12	0.6	0.6287	0.641	0.693	0.664	0.6821
1200	12	0.8	0.6223	0.6342	0.6916	0.6602	0.6726
1200	12	1.0	0.6103	0.6221	0.685	0.6506	0.6577
1200	12	1.2	0.6029	0.6131	0.69	0.6481	0.6411
1200	12	1.4	0.5948	0.6047	0.693	0.6448	0.6309
1200	12	1.6	0.5907	0.5985	0.7044	0.6459	0.6232
1200	12	1.8	0.5957	0.6034	0.7023	0.6477	0.6258
1200	14	0.2	0.6308	0.6431	0.6957	0.6661	0.6833
1200	14	0.4	0.6318	0.6448	0.6946	0.6663	0.6844
1200	14	0.6	0.6261	0.6378	0.6941	0.6627	0.6797
1200	14	0.8	0.6199	0.6312	0.6919	0.6588	0.6688
1200	14	1.0	0.6072	0.6189	0.6841	0.6487	0.6531
1200	14	1.2	0.5989	0.6089	0.69	0.6458	0.6373
1200	14	1.4	0.5944	0.6037	0.694	0.6451	0.6292
1200	14	1.6	0.5948	0.6022	0.7047	0.6482	0.6229
1200	14	1.8	0.5953	0.6044	0.697	0.6463	0.628
1200	16	0.2	0.6301	0.6429	0.6938	0.665	0.6837
1200	16	0.4	0.6325	0.6449	0.6959	0.6672	0.6833
1200	16	0.6	0.6242	0.6366	0.6916	0.6609	0.6773
1200	16	0.8	0.6164	0.6278	0.6895	0.6557	0.6651
1200	16	1.0	0.6048	0.6162	0.6849	0.6476	0.6489
1200	16	1.2	0.5992	0.6089	0.6924	0.6469	0.6344
1200	16	1.4	0.5944	0.6033	0.6956	0.6454	0.6287
1200	16	1.6	0.5931	0.6021	0.6954	0.6442	0.6274
1200	16	1.8	0.5907	0.6001	0.6946	0.6425	0.6233
1200	18	0.2	0.6301	0.6434	0.6922	0.6646	0.6834
1200	18	0.4	0.6298	0.6422	0.6949	0.6652	0.6821
1200	18	0.6	0.6235	0.6358	0.6914	0.6605	0.6749
1200	18	0.8	0.6133	0.6249	0.6868	0.6529	0.6618
1200	18	1.0	0.6053	0.6162	0.6871	0.6487	0.6455
1200	18	1.2	0.5965	0.6061	0.6911	0.6445	0.6321
1200	18	1.4	0.5931	0.602	0.6956	0.6449	0.6263
1200	18	1.6	0.5897	0.5996	0.693	0.6418	0.6259
1200	18	1.8	0.592	0.6006	0.6959	0.6436	0.6265
1300	2	0.2	0.6144	0.6223	0.7018	0.6582	0.6573
1300	2	0.4	0.6222	0.6314	0.6991	0.6618	0.6672
1300	2	0.6	0.6267	0.6377	0.6973	0.6638	0.6749
1300	2	0.8	0.6274	0.6395	0.6946	0.6638	0.6816
1300	2	1.0	0.6278	0.6399	0.6954	0.6639	0.6848
1300	2	1.2	0.6232	0.6356	0.6901	0.6597	0.6824
1300	2	1.4	0.6216	0.6325	0.6933	0.6601	0.6732
1300	2	1.6	0.614	0.6239	0.693	0.6553	0.6576
1300	2	1.8	0.6045	0.6142	0.6935	0.6501	0.6401
1300	4	0.2	0.6263	0.635	0.7031	0.6655	0.6694
1300	4	0.4	0.6277	0.6381	0.6962	0.6645	0.6771
1300	4	0.6	0.6295	0.6422	0.6941	0.6646	0.6836
1300	4	0.8	0.6294	0.6422	0.6933	0.6643	0.6855
1300	4	1.0	0.6252	0.6371	0.6911	0.6612	0.6822
1300	4	1.2	0.6208	0.632	0.6924	0.6592	0.6719
1300	4	1.4	0.6117	0.622	0.6916	0.6539	0.6558
1300	4	1.6	0.6004	0.6102	0.6916	0.6471	0.6389
1300	4	1.8	0.5968	0.6054	0.6988	0.6474	0.6273
1300	6	0.2	0.6253	0.6361	0.6962	0.6627	0.6751
1300	6	0.4	0.6327	0.645	0.6951	0.6669	0.6824
1300	6	0.6	0.6342	0.6466	0.6978	0.6688	0.6855
1300	6	0.8	0.6264	0.6389	0.6909	0.6622	0.6839
1300	6	1.0	0.6239	0.6359	0.6919	0.6609	0.676
1300	6	1.2	0.6138	0.6251	0.689	0.654	0.6615
1300	6	1.4	0.6039	0.6143	0.689	0.6484	0.6441
1300	6	1.6	0.5985	0.6063	0.7012	0.6492	0.6307
1300	6	1.8	0.5927	0.6014	0.6986	0.645	0.6251
1300	8	0.2	0.6308	0.642	0.6978	0.6666	0.6793
1300	8	0.4	0.6331	0.6456	0.6967	0.6678	0.6842
1300	8	0.6	0.6321	0.6447	0.6938	0.6656	0.6853
1300	8	0.8	0.6259	0.6374	0.6933	0.6623	0.6807
1300	8	1.0	0.6167	0.6291	0.6866	0.6551	0.6695
1300	8	1.2	0.6103	0.6212	0.689	0.6522	0.653
1300	8	1.4	0.5998	0.6097	0.6922	0.6473	0.6372
1300	8	1.6	0.5923	0.6009	0.6978	0.6446	0.6266
1300	8	1.8	0.5987	0.6068	0.7023	0.6499	0.6281
1300	10	0.2	0.6322	0.6439	0.6975	0.6674	0.681
1300	10	0.4	0.6324	0.6454	0.6949	0.6666	0.6851
1300	10	0.6	0.6315	0.6437	0.6954	0.6664	0.6842
1300	10	0.8	0.6239	0.6362	0.6906	0.6604	0.6768
1300	10	1.0	0.6128	0.6247	0.6858	0.6525	0.6631
1300	10	1.2	0.6035	0.6143	0.6874	0.6478	0.6461
1300	10	1.4	0.594	0.6039	0.69	0.643	0.6332
1300	10	1.6	0.5933	0.6011	0.701	0.6462	0.6275
1300	10	1.8	0.5936	0.6028	0.6964	0.645	0.6276
1300	12	0.2	0.6315	0.6443	0.6949	0.6661	0.6826
1300	12	0.4	0.6322	0.6457	0.6938	0.6664	0.6851
1300	12	0.6	0.6295	0.6415	0.6949	0.665	0.6822
1300	12	0.8	0.6226	0.6342	0.6922	0.66	0.6727
1300	12	1.0	0.6099	0.6217	0.6844	0.6503	0.6579
1300	12	1.2	0.6033	0.6133	0.6908	0.6487	0.6412
1300	12	1.4	0.5937	0.6035	0.6919	0.6437	0.6309
1300	12	1.6	0.5909	0.5996	0.6999	0.6448	0.6253
1300	12	1.8	0.5907	0.5988	0.7039	0.6459	0.62
1300	14	0.2	0.6305	0.643	0.6946	0.6656	0.6833
